station_id,troncon_id,drainage_area,region_id
061305,,0.3,
061306,,0.3,
061307,SAGU00621,306,SAGU
061502,SAGU00641,2212,SAGU
061601,,576,
042610,,5977,
061603,,624,
061801,SAGU01949,1020,SAGU
061901,SAGU00822,15515,SAGU
061905,SAGU00838,11100,SAGU
061906,SAGU00973,4330,SAGU
061909,SAGU01090,591,SAGU
061910,,3,
062001,SAGU01102,295,SAGU
062002,SAGU01101,26.8,SAGU
062101,SAGU01125,8680.6,SAGU
062102,SAGU01329,9631,SAGU
062103,SAGU01332,4580,SAGU
062104,SAGU01407,3420,SAGU
062109,,3320,
062110,,1190,
062111,,4480,
062114,SAGU01125,8643.9,SAGU
062209,,3686,
062210,SAGU01739,2220,SAGU
062701,SAGU00201,768,SAGU
062802,SAGU02134,1100,SAGU
062803,SAGU02134,1097,SAGU
062914,,71584,
064101,SAGU00818,177,SAGU
070201,,793,
070202,CNDA00019,40.7,CNDA
070203,,787,
070204,CNDA00018,768,CNDA
070401,CNDA00036,3085,CNDA
070704,,16100,
071201,,444,
103605,,40429,
071401,CNDB00855,1577,CNDB
071801,CNDB01112,219.5,CNDB
072201,,557,
072301,CNDC00469,19012,CNDC
072302,CNDC00566,3390,CNDC
072502,,458,
072503,CNDC00795,679,CNDC
073301,CNDC00003,684,CNDC
073303,CNDC00003,676,CNDC
073501,CNDC00032,7610,CNDC
073502,CNDC00033,7590,CNDC
073503,CNDC00037,7201,CNDC
073801,CNDD00900,12922,CNDD
073802,,6550,
074701,CNDD01367,5590,CNDD
074702,CNDD01505,151,CNDD
074901,CNDD00486,16000,CNDD
074902,CNDD00502,11600,CNDD
074903,CNDD00491,15693,CNDD
075601,CNDD00015,2950,CNDD
075701,CNDE00482,19100,CNDE
075702,CNDE00511,12100,CNDE
075705,CNDE00485,19191,CNDE
076101,,5750,
076201,CNDE01024,1060,CNDE
076601,CNDE00147,5504,CNDE
076801,CNDE00093,206,CNDE
080101,ABIT01483,3724,ABIT
080102,ABIT01483,3680,ABIT
080104,ABIT00822,11200,ABIT
080106,ABIT01542,365,ABIT
080701,,57500,
080702,,22500,
080703,,2010,
080704,,18700,
080705,ABIT00192,8310,ABIT
080706,ABIT00590,1990,ABIT
080707,ABIT00018,22275,ABIT
080708,ABIT00588,2110,ABIT
080709,,1170,
080710,,0,
080711,,0,
080712,,0,
080713,,0,
080714,,1020,
080716,,0,
080717,,8310,
103702,,48903,
080719,,1240,
080720,,0,
080721,ABIT00588,2110,ABIT
080801,,17100,
080802,,10900,
104001,,29878,
081001,,40900,
081002,,40900,
081003,,18100,
081006,,7280,
081007,,18100,
081008,,4490,
093801,,32469,
089901,,0,
089902,,1840,
089903,,1195,
089905,,0,
089906,,0,
089907,LABI00175,222,LABI
090601,,44300,
090602,,27700,
090603,,85.5,
090605,,1870,
090606,,1970,
090607,,3390,
090609,,3700,
090610,,11600,
090613,,21400,
