RESUMER ZONES HYDROTEL VERSION;4.1.2.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
133;SOUS-BASSIN;95.199997;0.005829;4;5;0.050000;-71.24104;46.62887
134;SOUS-BASSIN;110.016045;0.008848;1;187;1.870000;-71.25827;46.61718
135;SOUS-BASSIN;103.112358;0.008928;3;89;0.890000;-71.24745;46.61848
136;SOUS-BASSIN;115.045456;0.015263;2;44;0.440000;-71.25917;46.61025
137;SOUS-BASSIN;117.415642;0.014558;2;652;6.520000;-71.24307;46.59805
138;SOUS-BASSIN;117.146637;0.019564;4;832;8.320000;-71.22588;46.60796
139;SOUS-BASSIN;118.609756;0.012429;2;41;0.410000;-71.21542;46.58181
140;SOUS-BASSIN;122.112900;0.024100;5;62;0.620000;-71.20778;46.58423
141;SOUS-BASSIN;137.770477;0.013685;3;1917;19.170000;-71.20945;46.55094
142;SOUS-BASSIN;128.524307;0.022603;5;473;4.730000;-71.18939;46.55940
143;SOUS-BASSIN;125.000000;0.005003;5;1;0.010000;-71.15707;46.54732
144;SOUS-BASSIN;133.649124;0.009818;6;114;1.140000;-71.15724;46.55476
145;SOUS-BASSIN;133.038467;0.024143;6;26;0.260000;-71.15332;46.55030
146;SOUS-BASSIN;139.356018;0.016490;2;191;1.910000;-71.16591;46.53625
147;SOUS-BASSIN;137.847458;0.033040;5;118;1.180000;-71.14941;46.54231
148;SOUS-BASSIN;181.451019;0.025974;3;3736;37.360001;-71.11791;46.48470
149;SOUS-BASSIN;172.297104;0.027160;5;3174;31.740000;-71.06309;46.50667
150;SOUS-BASSIN;148.500000;0.024221;3;2;0.020000;-71.05429;46.46822
151;SOUS-BASSIN;171.885712;0.030472;5;70;0.700000;-71.04333;46.47256
152;SOUS-BASSIN;164.886368;0.027937;5;44;0.440000;-71.04358;46.46973
153;SOUS-BASSIN;237.854385;0.037620;2;3839;38.389999;-71.09434;46.43860
154;SOUS-BASSIN;178.237671;0.023586;5;446;4.460000;-71.03589;46.46833
155;SOUS-BASSIN;215.862854;0.057842;5;350;3.500000;-71.01621;46.45629
156;SOUS-BASSIN;174.307358;0.049539;7;231;2.310000;-71.02744;46.46269
157;SOUS-BASSIN;245.407898;0.055795;5;380;3.800000;-70.99537;46.48332
158;SOUS-BASSIN;211.381165;0.044766;8;223;2.230000;-71.01053;46.48454
159;SOUS-BASSIN;237.949081;0.033497;5;216;2.160000;-70.99310;46.51352
160;SOUS-BASSIN;220.676559;0.020754;8;337;3.370000;-71.00912;46.51297
161;SOUS-BASSIN;248.838379;0.027285;5;99;0.990000;-70.98525;46.52317
162;SOUS-BASSIN;263.707458;0.044661;4;376;3.760000;-70.97954;46.49395
163;SOUS-BASSIN;240.851517;0.026974;6;330;3.300000;-70.98619;46.50674
164;SOUS-BASSIN;276.392853;0.050139;5;140;1.400000;-70.95136;46.50776
165;SOUS-BASSIN;255.622452;0.028460;8;98;0.980000;-70.96924;46.51167
166;SOUS-BASSIN;283.850006;0.043715;5;320;3.200000;-70.94960;46.51575
167;SOUS-BASSIN;304.901520;0.045504;3;528;5.280000;-70.94227;46.48385
168;SOUS-BASSIN;284.663940;0.036497;6;366;3.660000;-70.94630;46.49769
169;SOUS-BASSIN;339.526520;0.042507;5;528;5.280000;-70.90249;46.50297
170;SOUS-BASSIN;326.576721;0.044170;8;404;4.040000;-70.92157;46.50792
171;SOUS-BASSIN;334.990479;0.029840;6;105;1.050000;-70.89827;46.51814
172;SOUS-BASSIN;361.403503;0.043313;4;342;3.420000;-70.90701;46.47703
173;SOUS-BASSIN;328.444458;0.041426;5;108;1.080000;-70.91139;46.49103
174;SOUS-BASSIN;367.502625;0.050953;5;191;1.910000;-70.90053;46.48654
175;SOUS-BASSIN;312.394043;0.044994;4;1274;12.740000;-70.95256;46.45893
176;SOUS-BASSIN;266.325806;0.056586;6;310;3.100000;-70.98596;46.47196
177;SOUS-BASSIN;296.333344;0.042137;6;489;4.890000;-70.95902;46.47349
178;SOUS-BASSIN;202.594589;0.063302;2;703;7.030000;-71.03740;46.43112
179;SOUS-BASSIN;180.980301;0.057563;6;406;4.060000;-71.01892;46.44290
180;SOUS-BASSIN;279.441620;0.046256;6;668;6.680000;-70.96921;46.43169
181;SOUS-BASSIN;265.320251;0.051726;6;637;6.370000;-70.98940;46.44307
182;SOUS-BASSIN;243.414627;0.068398;5;41;0.410000;-70.98599;46.43358
183;SOUS-BASSIN;182.356323;0.103567;2;87;0.870000;-71.01253;46.41939
184;SOUS-BASSIN;170.011627;0.066412;5;172;1.720000;-71.00093;46.42337
185;SOUS-BASSIN;219.500000;0.051090;8;170;1.700000;-71.02838;46.41567
186;SOUS-BASSIN;288.079865;0.061808;2;914;9.140000;-71.02580;46.39883
187;SOUS-BASSIN;317.006378;0.074235;2;1414;14.140000;-71.06626;46.40084
188;SOUS-BASSIN;219.778732;0.069413;2;818;8.180000;-70.98516;46.39800
189;SOUS-BASSIN;238.326508;0.052676;6;1026;10.260000;-70.96209;46.41787
190;SOUS-BASSIN;267.890015;0.058641;5;391;3.910000;-70.93020;46.40176
191;SOUS-BASSIN;257.514435;0.037819;7;381;3.810000;-70.94122;46.41566
192;SOUS-BASSIN;251.333328;0.020535;8;3;0.030000;-70.93233;46.41394
193;SOUS-BASSIN;258.333344;0.023241;7;3;0.030000;-70.93115;46.41726
194;SOUS-BASSIN;255.222229;0.014683;1;9;0.090000;-70.93470;46.41580
195;SOUS-BASSIN;280.402985;0.030963;7;67;0.670000;-70.93263;46.42431
196;SOUS-BASSIN;274.899994;0.041677;5;30;0.300000;-70.92148;46.41871
197;SOUS-BASSIN;292.793549;0.031167;7;155;1.550000;-70.92683;46.42885
198;SOUS-BASSIN;302.412689;0.032570;5;126;1.260000;-70.90922;46.43279
199;SOUS-BASSIN;306.327881;0.028345;8;183;1.830000;-70.91994;46.43633
200;SOUS-BASSIN;341.677948;0.031191;7;621;6.210000;-70.90568;46.45512
201;SOUS-BASSIN;372.914093;0.032817;5;1711;17.110001;-70.86361;46.43786
