region,station,troncon,meandre,LN24HA,MG24HA,MG24HI,MG24HK,MG24HQ,MG24HS,ens_med,meilleur_membre
slso,23004,SLSO02542,0.7799060397742641,0.648295125938974,0.6591316364584302,0.7403531759479228,0.6249233596084338,0.7120891252645504,0.5645935305963314,0.71952976188516,0.7403531759479228
slso,23005,SLSO02550,,,,,,,,,
slso,23007,SLSO02544,,,,,,,,,
slso,24003,SLSO00829,0.6901323365853039,0.7295563362124939,0.686396848823158,0.5551648467766651,0.6286809457153749,0.6131776982433415,0.66959448336309,0.6490852680068134,0.7295563362124939
slso,23006,SLSO02553,,,,,,,,,
slso,23306,SLSO02456,0.39066482251146495,0.5278890390282789,0.5253043531850645,0.5034953876274515,0.6155781096373822,0.5593850532869982,0.5427489913845752,0.5493392921862753,0.6155781096373822
slso,23401,SLSO00585,0.6805287332970892,0.7125986868629838,0.6757781320564225,0.6534432736649021,0.7037286578078359,0.6706784596904349,0.6264771220489711,0.6933545223300581,0.7125986868629838
slso,31501,SLSO00933,,,,,,,,,
slso,30106,SLSO00969,0.5880716106633562,0.594260730840056,0.5567933947687085,0.4752159739095304,0.6542282429700592,0.549987741021561,0.505374632964867,0.5703869194728814,0.6542282429700592
slso,30242,SLSO01972,0.5086043861357015,0.6322940395834835,0.6178322698074987,0.356944134345764,0.6216183243338371,0.5650610229610741,0.7676779018822397,0.5962160766658218,0.7676779018822397
slso,22601,SLSO02878,0.3675519362317424,0.6596080572836502,0.6292965338554966,0.6094646544778811,0.6227262210960302,0.6555959061550298,0.48756025574443684,0.6531623438130217,0.6596080572836502
slso,23450,SLSO00621,0.26414741737808023,0.7166223587639111,0.6895367813765569,0.5100849477929388,0.6636246421994079,0.6926865513649982,0.5457241086243485,0.6810162341199193,0.7166223587639111
slso,30299,SLSO01214,0.8087154934763844,0.7545488221028833,0.7156269997125055,0.562148141637063,0.5434778239722254,0.5603013402929355,0.5581584673184433,0.6656719850812489,0.7545488221028833
slso,23429,SLSO00246,0.6062412872136373,0.6806725040785617,0.661356580495813,0.47435644408615973,0.6645614382510343,0.5734726611833652,0.6622310908356956,0.6156368564039816,0.6806725040785617
slso,23702,SLSO00708,0.7953652050486985,0.6621507163852858,0.6317026942510917,0.6144215062578164,0.7394218930132418,0.7054108415505345,0.6034954787165542,0.6793230109211061,0.7394218930132418
slso,23303,SLSO02388,0.7291368540637813,0.8256988852839168,0.8049484341771749,0.7085870722459686,0.8340860659385878,0.7761130805054672,0.6976023757045995,0.8130398638995805,0.8340860659385878
slso,23422,SLSO00160,0.7786988389098342,0.6233302861447265,0.5998084398128048,0.5814842694372369,0.7875316695513352,0.699304048511926,0.6949502054527631,0.6525195451062425,0.7875316695513352
slso,23428,SLSO00460,0.6324340413831,0.7094421772675694,0.6867811715537393,0.5071200379170979,0.7177609795918753,0.6416187893130612,0.7314796507639654,0.6615278111472931,0.7314796507639654
slso,24013,SLSO00850,,,,,,,,,
slso,24015,SLSO00889,0.6269163222391029,0.5304325037036868,0.5094388666759118,0.4046821669784336,0.6177710502576944,0.5044420802912609,0.34237383000012855,0.5044286955941868,0.6177710502576944
slso,23002,SLSO02552,0.6415452070591685,0.5475434335732773,0.5268229004640841,0.6132420468531244,0.5559461247011719,0.6013800613929002,0.430839663001909,0.5861752826448996,0.6132420468531244
slso,24004,SLSO00887,0.4449361052788715,0.38938789133134477,0.41507091029269727,0.5665323165695082,0.5084069349932739,0.5826213438803414,0.38303229803788297,0.5936005569766575,0.5826213438803414
slso,30103,SLSO00958,0.7056182270104937,0.6708119502164004,0.6432454111916652,0.5952561946977071,0.8109628021840845,0.652095275107179,0.5078237361728473,0.6959859432579738,0.8109628021840845
slso,23443,SLSO00635,,,,,,,,,
slso,24014,SLSO00796,0.7518891785991995,0.7522033538646857,0.7120265053176458,0.6200168482654502,0.7388753516826141,0.674013224424632,0.6941734899236971,0.6975068407262539,0.7522033538646857
slso,30234,SLSO01945,0.6188648528425509,0.73493565536598,0.7296453349958749,0.4597569647527605,0.7807725539331488,0.6165355023269756,0.7473219773257878,0.6986369232003711,0.7807725539331488
slso,22704,SLSO02792,0.41067276373624517,0.6752074189632153,0.6655563403587582,0.5732057752668585,0.6823440080049687,0.6615521197790103,0.6320741722998972,0.657690594294525,0.6823440080049687
slso,30101,SLSO01106,0.623812530268886,0.6576177947073729,0.6321658745674172,0.429061707700777,0.6964697870277634,0.5579146759708111,0.6732707496964545,0.6067448380430223,0.6964697870277634
slso,23106,SLSO02599,0.6696182010209542,0.8141782344205566,0.8008099222545357,0.7229002362152465,0.8034566841067811,0.8201911000536727,0.791300356050413,0.8466143547968153,0.8201911000536727
slso,23448,SLSO00253,0.5087846981498056,0.65685109515272,0.6331775095499457,0.4555869805947518,0.6095356776782799,0.5404613072088638,0.6335868315098141,0.5830071209410583,0.65685109515272
slso,30120,SLSO00984,0.7197553801069441,0.6578701172458307,0.6188775926762526,0.5107779515957471,0.7736329336107717,0.6263399113508834,0.5374657932182542,0.6454334271820346,0.7736329336107717
slno,52238,SLNO00573,0.40279320676326835,0.6917481801794163,0.6605136921034089,0.6598268288792059,0.7037980701916822,0.6006098549153008,0.5680607636758932,0.684147462615994,0.7037980701916822
slno,50117,SLNO01445,0.6303911379638596,0.8635715985253909,0.8750708944321195,0.8098590436582452,0.8291157745704973,0.829337493923399,0.8268305930415487,0.8670695197765987,0.8750708944321195
slno,50409,SLNO03249,0.6980319157639876,0.7731116320312319,0.7733785729917168,0.7836055364958789,0.7931860688655177,0.818277991445191,0.7730636540434925,0.8043052100522424,0.818277991445191
slno,50914,SLNO00040,,,,,,,,,
slno,52805,SLNO00872,0.47941711203991777,0.8819658711107491,0.8554161296214338,0.7508667161153517,0.7640065823155539,0.8478240368109276,0.8657120065103907,0.8366173979746596,0.8819658711107491
slno,50135,SLNO01454,0.5478371325439411,0.8788368591021278,0.8581886348976895,0.7536842422139242,0.7714297666949947,0.8289123724636672,0.7620123232301024,0.7901100718047891,0.8788368591021278
slno,52231,SLNO00815,,,,,,,,,
slno,52236,SLNO00564,,,,,,,,,
slno,50119,SLNO01060,0.620552654835101,0.7783007225305225,0.8313199234317474,0.8128232046057311,0.8454926085033716,0.7126697226237534,0.8349596580934293,0.8436984799902063,0.8454926085033716
slno,50144,SLNO02638,0.48626119514089927,0.681690050286532,0.7242804991928339,0.7713011580428096,0.7987760924571538,0.741508068719398,0.7268822346503785,0.7701682187606091,0.7987760924571538
slno,50904,SLNO00014,0.6106752827341647,0.6901975933116755,0.6661386942616191,0.6853464243669352,0.7236217644031147,0.8003674824097576,0.8117310777895841,0.7352678355570774,0.8117310777895841
slno,52228,SLNO00616,0.4992312719575205,0.8596448779739895,0.8468795462341742,0.7887591857368665,0.7560068037524733,0.8675816573267203,0.825388047098438,0.8325086355080613,0.8675816573267203
slno,52233,SLNO00791,0.6062644125234448,0.5617113367924238,0.528672393980123,0.7151120858003943,0.7559424178645332,0.7539939039801167,0.728996559559741,0.721934279613405,0.7559424178645332
slno,52212,SLNO00717,0.5762377425702053,0.7573847454761539,0.7348370411162435,0.782389558102953,0.7796810439583526,0.8701591862023231,0.8169852840781372,0.8077780074265601,0.8701591862023231
slno,50304,SLNO02931,0.7300666826465997,0.8536963099345385,0.8619136568823189,0.8365272643146895,0.8381972589821136,0.8064868342270151,0.8054775136577028,0.8581049998290019,0.8619136568823189
slno,50801,SLNO00372,0.7320928935319511,0.8216258568103019,0.8631990438456626,0.8433191284873667,0.8737801356764027,0.8340540789607278,0.8145006389579458,0.86272097660991,0.8737801356764027
slno,52229,SLNO00569,,,,,,,,,
slno,52606,SLNO00514,0.5101504031711486,0.813909117905052,0.7953024765414878,0.7184300318173269,0.7207463886704142,0.8194972165213948,0.7804482118220474,0.7658648706903801,0.8194972165213948
slno,50702,SLNO03348,0.6254364564346393,0.6820962107621965,0.6578867205207752,0.8107792486720122,0.8006509349808706,0.8221377480645295,0.6340736219263172,0.8472411057935012,0.8221377480645295
slno,51001,SLNO00295,0.6948878030772333,0.8120930923716366,0.8009351451161031,0.8168666668789014,0.8475012960504147,0.9072276103350414,0.872510275105504,0.8664510600712572,0.9072276103350414
slno,52401,SLNO00830,0.6935958197489138,0.603090108572303,0.5936364861381263,0.807826795667368,0.8070917185628433,0.6433505597541869,0.4901308005413496,0.8023765296054859,0.807826795667368
slno,51005,SLNO00321,0.7414916280759866,0.8446434046992795,0.8708576371448216,0.8547315770124727,0.8966890524770975,0.9004768198324629,0.865795510345049,0.8931409803311967,0.9004768198324629
slno,52219,SLNO00586,0.6319582577986782,0.8927224811159388,0.8765874123915185,0.8110610295941699,0.824425123000198,0.8325475293866076,0.8426078399986152,0.8791104209811098,0.8927224811159388
slno,52810,SLNO00851,,,,,,,,,
